1	1	0	0	72	72
2	1	144	0	288	72
3	1	468	0	288	72
4	1	792	0	288	72
5	1	1107	0	216	72
6	1	0	105	1080	360
7	1	1107	105	216	144
8	1	1350	105	288	360
9	1	1179	321	72	144
10	1	1107	393	216	72
11	2	0	0	72	72
12	2	144	0	288	72
13	2	468	0	288	72
14	2	792	0	288	72
15	2	1107	0	216	72
16	2	0	105	1080	360
17	2	1107	105	216	144
18	2	1350	105	288	360
19	2	1179	321	72	144
20	2	1107	393	216	72
21	3	0	0	72	72
22	3	144	0	288	72
23	3	468	0	288	72
24	3	792	0	288	72
25	3	1107	0	216	72
26	3	0	105	1080	360
27	3	1107	105	216	144
28	3	1350	105	288	360
29	3	1179	321	72	144
30	3	1107	393	216	72
31	4	0	0	72	72
32	4	144	0	288	72
33	4	468	0	288	72
34	4	792	0	288	72
35	4	1107	0	216	72
36	4	0	105	1080	360
37	4	1107	105	216	144
38	4	1350	105	288	360
39	4	1179	321	72	144
40	4	1107	393	216	72
41	5	0	0	1080	432
42	5	1107	0	216	216
43	5	1350	0	288	432
44	5	1179	288	72	144
45	5	1107	360	216	72
46	6	0	0	1044	408
47	6	1071	0	216	186
48	6	1314	0	288	408
49	6	1071	339	216	69
50	6	1143	270	72	138
51	7	0	0	1080	432
52	7	1107	0	216	216
53	7	1350	0	288	432
54	7	1179	288	72	144
55	7	1107	360	216	72
