\N	1	1
\N	2	1
\N	3	1
\N	4	1
\N	5	5
\N	6	4
\N	7	4
\N	8	2
\N	9	3
\N	10	1
\N	11	1
\N	12	1
\N	13	1
\N	14	1
\N	15	1
\N	16	1
\N	17	5
\N	18	4
\N	19	4
\N	20	2
\N	21	3
\N	22	1
\N	23	1
\N	24	1
\N	25	1
\N	26	1
\N	27	1
\N	28	1
\N	29	5
\N	30	4
\N	31	4
\N	32	2
\N	33	3
\N	34	1
\N	35	1
\N	36	1
\N	37	1
\N	38	1
\N	39	1
\N	40	1
\N	41	1
\N	42	1
\N	43	1
\N	44	1
\N	45	1
\N	46	1
\N	47	1
\N	48	1
\N	49	1
\N	50	1
\N	51	1
\N	52	1
\N	53	1
\N	54	1
\N	55	1
\N	56	1
\N	57	1
\N	58	1
\N	59	1
\N	60	1
\N	61	1
\N	62	1
\N	63	1
\N	64	1
\N	65	1
\N	66	1
\N	67	1
\N	68	1
\N	69	1
\N	70	1
\N	71	1
\N	72	1
\N	73	1
\N	74	1
\N	75	1
\N	76	1
\N	77	1
\N	78	1
\N	79	1
\N	80	1
\N	81	1
\N	82	1
\N	83	1
\N	84	1
\N	85	1
\N	86	1
\N	87	1
\N	89	1
\N	90	1
\N	91	1
\N	92	1
\N	93	5
\N	94	4
\N	95	4
\N	96	2
\N	97	3
\N	98	1
\N	99	1
\N	100	1
\N	101	1
\N	102	1
\N	103	1
\N	104	1
\N	105	1
\N	120	1
\N	121	1
\N	122	1
\N	123	1
\N	124	5
\N	125	4
\N	126	4
\N	127	2
\N	128	3
\N	129	1
\N	130	1
\N	131	1
\N	132	1
\N	133	1
\N	134	1
\N	135	1
\N	136	1
\N	151	1
\N	152	1
\N	153	1
\N	154	1
\N	155	5
\N	156	4
\N	157	4
\N	158	2
\N	159	3
\N	160	1
\N	161	1
\N	162	1
\N	163	1
\N	164	1
\N	165	1
\N	166	1
\N	167	1
\N	168	1
\N	169	1
\N	170	1
\N	171	1
\N	172	5
\N	173	4
\N	174	4
\N	175	2
\N	176	3
\N	177	1
\N	178	1
\N	179	1
\N	180	1
\N	181	1
\N	182	1
\N	183	1
\N	184	1
